07558;44.1185;3.0195;-0.96;1.15
07027;49.18;-0.456167;-0.63;3.55
07110;48.444167;-4.412;-1.06;3.96
71805;46.766333;-56.179167;-2.54;9.47
78925;14.595333;-60.995667;0.48;0.13
07015;50.57;3.0975;-0.13;1.49
07149;48.716833;2.384333;2.59;0.23
81408;3.890667;-51.804667;3.14;2.64
89642;-66.663167;140.001;2.05;3.55
07020;49.725167;-1.939833;-2.05;11.62
07761;41.918;8.792667;1.30;0.75
81405;4.822333;-52.365333;3.99;4.75
07168;48.324667;4.02;-1.97;0.72
07607;43.909833;-0.500167;0;0
07650;43.437667;5.216;-2.09;0.18
71805;46.766333;-56.179167;-3.04;6.53
07149;48.716833;2.384333;-0.42;0.91
61972;-22.344167;40.340667;1.32;4.93
07280;47.267833;5.088333;0.00;2.10
07434;45.861167;1.175;-1.23;3.38
07020;49.725167;-1.939833;6.67;0.58
07117;48.825833;-3.473167;-5.62;2.62
07168;48.324667;4.02;0;0
07690;43.648833;7.209;-4.44;1.19
61970;-17.054667;42.712;0.18;2.09
71805;46.766333;-56.179167;-1.86;6.95
07168;48.324667;4.02;0.17;0.98
07181;48.581;5.959833;-0.64;0.77
07222;47.15;-1.608833;3.09;0.27
07335;46.593833;0.314333;-3.55;0.63
07222;47.15;-1.608833;5.02;0.89
07650;43.437667;5.216;2.91;1.06
61972;-22.344167;40.340667;1.42;8.08
07015;50.57;3.0975;0.77;0.64
07280;47.267833;5.088333;-2.60;0.00
81405;4.822333;-52.365333;1.72;1.20
07020;49.725167;-1.939833;10.14;1.79
07207;47.294333;-3.218333;2.51;0.67
07621;43.188;0.0;2.51;0.67
07747;42.737167;2.872833;-5.17;2.41
07434;45.861167;1.175;4.79;1.74
61998;-49.352333;70.243333;-1.05;1.82
07314;46.046833;-1.4115;8.67;0.76
07015;50.57;3.0975;6.24;3.60
07110;48.444167;-4.412;-7.67;0.67
07168;48.324667;4.02;0.54;2.03
07222;47.15;-1.608833;-1.06;3.96
07630;43.621;1.378833;-3.55;2.05
07015;50.57;3.0975;0.26;1.48
07481;45.7265;5.077833;0.26;1.48
07627;43.005333;1.106833;0.45;2.56
07510;44.830667;-0.691333;0.00;3.60
78925;14.595333;-60.995667;1.97;0.72
81408;3.890667;-51.804667;-0.97;0.26
78925;14.595333;-60.995667;0.49;0.09
07434;45.861167;1.175;-1.40;3.85
07690;43.648833;7.209;-5.83;2.12
07015;50.57;3.0975;-0.32;0.38
07020;49.725167;-1.939833;2.30;3.98
07335;46.593833;0.314333;4.32;1.57
07630;43.621;1.378833;0.13;1.49
07314;46.046833;-1.4115;9.79;4.56
61980;-20.8925;55.528667;2.19;2.19
61996;-37.795167;77.569167;-6.93;6.93
71805;46.766333;-56.179167;-3.99;4.75
07207;47.294333;-3.218333;8.03;5.62
07510;44.830667;-0.691333;5.08;0.44
07577;44.581167;4.733;4.08;0.36
07650;43.437667;5.216;3.91;3.28
61972;-22.344167;40.340667;0.36;4.08
07240;47.4445;0.727333;3.98;2.30
07577;44.581167;4.733;5.68;0.50
07117;48.825833;-3.473167;1.23;3.38
07130;48.068833;-1.734;1.45;0.39
07149;48.716833;2.384333;0.77;0.64
07190;48.5495;7.640333;4.04;0.71
07577;44.581167;4.733;-5.70;0.00
07627;43.005333;1.106833;0;0
78897;16.264;-61.516333;0.49;0.09
07577;44.581167;4.733;5.68;0.50
61980;-20.8925;55.528667;0.82;0.57
67005;-12.8055;45.282833;-6.53;3.04
67005;-12.8055;45.282833;0;0
07027;49.18;-0.456167;0.97;0.26
78922;14.7745;-60.875333;2.46;6.77
07621;43.188;0.0;0.23;2.59
07690;43.648833;7.209;-1.30;0.75
61997;-46.4325;51.856667;-15.41;7.18
07240;47.4445;0.727333;3.85;1.40
07255;47.059167;2.359833;-1.23;0.86
07627;43.005333;1.106833;2.68;1.55
07005;50.136;1.834;2.51;0.67
07149;48.716833;2.384333;3.98;2.30
07314;46.046833;-1.4115;4.18;2.93
07460;45.786833;3.149333;-0.49;0.09
07510;44.830667;-0.691333;3.55;2.05
